Type,Date,Time,Action,Errors,Ruleset ID,Ruleset Name,Rule ID,Rule Name,Destination List IDs,Destination Lists,Signature List ID,IPS Signature,IPS Signature Severity,IPS Signature CVE,Identities,Identity Types,Policy or Ruleset Identity,Policy or Ruleset Identity Type,Forwarding Method,Internal IP,External IP,Source IP,Destination IP,Source Port,Destination Port,Destination,Hostname,Categories,Integrations,Blocked Categories,Application,Application Category,Query Type,Content Type,Protocol,Filename,File Action (Remote Browser Isolation),Total Size in Bytes,Request Size,Response Size,Packet Size,Referrer,User Agent,Status Code,Direction,Threats,Threat Types,SHA256 Hash,Cisco AMP Result,Cisco AMP Disposition,Cisco AMP Score,Antivirus Result,Potentially Unwanted Applications,Other Antivirus Threats,Detected Response File Type,Isolated State,Data Loss Prevention State,Tenant Controls,Request Method,Umbrella Egress IP Address,Umbrella Egress Data Center
dns,2023-05-13,22:18:20,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,pagead2.googlesyndication.com,,"Advertisements, Application",,,Google AdSense,Ad Publishing,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:20,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,c.bing.com,,"Search Engines (Legacy), Infrastructure and Content Delivery Networks, Application, Search Engines and Portals",,,Bing,Search,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:19,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,oajs.openx.net,,"Business Services (Legacy), Application, Business and Industry",,,OpenX,Ad Publishing,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:19,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,tpc.googlesyndication.com,,"Advertisements, Application",,,Google Ads,Ad Publishing,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:19,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,www.google.com,,"Search Engines (Legacy), Search Engines and Portals",,,,,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:19,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,adservice.google.com,,"Search Engines (Legacy), Advertisements, Application",,,Google Ads,Ad Publishing,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:18,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,adservice.google.co.in,,"Search Engines (Legacy), Advertisements, Application, Search Engines and Portals",,,,,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:17,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,pagead2.googlesyndication.com,,"Advertisements, Application",,,Google AdSense,Ad Publishing,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:16,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,tpc.googlesyndication.com,,"Advertisements, Application",,,Google Ads,Ad Publishing,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:16,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,match.adsrvr.org,,"Advertisements, Business Services (Legacy), Application",,,The Trade Desk,Ad Publishing,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:16,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,bcp.crwdcntrl.net,,"Software/Technology (Legacy), Business Services (Legacy), Application, Business and Industry",,,Lotame,Business Intelligence,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:16,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,id5-sync.com,,"Infrastructure and Content Delivery Networks, Application",,,ID5 Platform,Ad Publishing,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:16,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,ib.adnxs.com,,"Advertisements, Business Services (Legacy), Infrastructure and Content Delivery Networks, Application",,,,,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:14,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,pixel-us-apac.rubiconproject.com,,"Software/Technology (Legacy), Business Services (Legacy), Application, Business and Industry",,,Rubicon Project Buyers,Ad Publishing,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:14,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,pixel.rubiconproject.com,,"Software/Technology (Legacy), Advertisements, Business Services (Legacy), Infrastructure and Content Delivery Networks, Application",,,Rubicon Project Buyers,Ad Publishing,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:12,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,ms-cookie-sync.presage.io,,"Software/Technology (Legacy), Business Services (Legacy), Application, Business and Industry, Computers and Internet",,,Ogury MJM Cloud,Marketing & Sales,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:12,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,match.adsrvr.org,,"Advertisements, Business Services (Legacy), Application",,,The Trade Desk,Ad Publishing,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:12,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,jadserve.postrelease.com,,"Business Services (Legacy), Infrastructure and Content Delivery Networks, Application, Business and Industry",,,Nativo,Ad Publishing,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:12,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,pixel-us-apac.rubiconproject.com,,"Software/Technology (Legacy), Business Services (Legacy), Application, Business and Industry",,,Rubicon Project Buyers,Ad Publishing,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:11,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,esp.rtbhouse.com,,"Business Services (Legacy), Business and Industry",,,,,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:11,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,secure.adnxs.com,,"Advertisements, Business Services (Legacy), Infrastructure and Content Delivery Networks, Application",,,,,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:11,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,lb.eu-1-id5-sync.com,,Advertisements,,,,,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:11,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,oa.openxcdn.net,,"Business Services (Legacy), Application, Business and Industry",,,OpenX,Ad Publishing,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:11,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,tags.crwdcntrl.net,,"Software/Technology (Legacy), Advertisements, Business Services (Legacy), Application",,,Lotame,Business Intelligence,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:11,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,id5-sync.com,,"Infrastructure and Content Delivery Networks, Application",,,ID5 Platform,Ad Publishing,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:11,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,id.rlcdn.com,,"Business Services (Legacy), SaaS and B2B, Application",,,LiveRamp,Marketing & Sales,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:11,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,sync.mathtag.com,,"Business Services (Legacy), Application, Business and Industry",,,TerminalOne,Marketing & Sales,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:10,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,ib.adnxs.com,,"Advertisements, Business Services (Legacy), Infrastructure and Content Delivery Networks, Application",,,,,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:10,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,image6.pubmatic.com,,"Business Services (Legacy), Infrastructure and Content Delivery Networks, Application, Business and Industry",,,PubMatic Cloud,Ad Publishing,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:10,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,bttrack.com,,"Software/Technology (Legacy), Business Services (Legacy), Business and Industry",,,,,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:10,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,invstatic101.creativecdn.com,,Infrastructure and Content Delivery Networks,,,,,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:10,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,sync.srv.stackadapt.com,,"Business Services (Legacy), Application, Business and Industry",,,StackAdapt,Ad Publishing,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:10,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,pixel.tapad.com,,"Software/Technology (Legacy), Business Services (Legacy), Application, Business and Industry",,,Tapad,Ad Publishing,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:10,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,pixel-us-apac.rubiconproject.com,,"Software/Technology (Legacy), Business Services (Legacy), Application, Business and Industry",,,Rubicon Project Buyers,Ad Publishing,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:09,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,cdn.id5-sync.com,,"Infrastructure and Content Delivery Networks, Application",,,ID5 Platform,Ad Publishing,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:09,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,cdn.jsdelivr.net,,"Software/Technology (Legacy), Business Services (Legacy), Infrastructure and Content Delivery Networks, Application, Computers and Internet",,,jsDerlivr,Content Delivery Network,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:09,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,secure.cdn.fastclick.net,,"Advertisements, Infrastructure and Content Delivery Networks, Application",,,Conversant Media,Ad Publishing,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:08,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,eus.rubiconproject.com,,"Software/Technology (Legacy), Business Services (Legacy), Infrastructure and Content Delivery Networks, Application, Business and Industry",,,Rubicon Project Buyers,Ad Publishing,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:08,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,acdn.adnxs.com,,"Advertisements, Business Services (Legacy), Infrastructure and Content Delivery Networks, Application",,,,,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:08,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,ads.yieldmo.com,,"Software/Technology (Legacy), Advertisements, Business Services (Legacy), Application, Business and Industry, Cloud and Data Centers",,,Yieldmo,Ad Publishing,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
